exercise,subject_id,camera,model,num_frames,mean_nmpjpe,std_nmpjpe,median_nmpjpe,frames_over_30,frames_over_50,skip_rate,video_id,category
Ex2,PM_013,c17,YOLOv8-Pose n,483,16.805023421635156,51.34765443803995,8.246148630934712,13,13,0.02311939268461,PM_013-c17,clean
Ex2,PM_013,c18,MediaPipe full,485,10.57161721756504,7.938309503892754,9.935308470543196,2,1,0.3144329896907217,PM_013-c18,clean
Ex2,PM_013,c18,MoveNet multipose,485,7.163887417827296,1.364379174416437,7.235162009952834,0,0,0.3254295532646048,PM_013-c18,clean
Ex2,PM_013,c18,YOLOv8-Pose n,485,10.646797115361943,5.500234327438509,8.174389969170218,5,0,0.1673539518900343,PM_013-c18,clean
Ex2,PM_014,c17,MediaPipe full,1733,20.06371314192133,45.57811083441276,9.183006201520532,120,94,0.0401519522985189,PM_014-c17,clean
Ex2,PM_014,c17,MoveNet multipose,1702,16.678922625899194,52.373935185029474,7.14751987214094,56,56,0.0672737955346651,PM_014-c17,clean
Ex2,PM_014,c17,YOLOv8-Pose n,1746,17.170074303265952,49.28596993179015,8.478878557809411,51,51,0.0236254295532646,PM_014-c17,clean
Ex2,PM_014,c18,MediaPipe full,1746,14.613120047477937,25.88201286227278,8.575119622541674,56,42,0.1808419243986254,PM_014-c18,clean
Ex2,PM_014,c18,MoveNet multipose,1750,7.113004142825685,1.847526545453516,6.695012688352574,0,0,0.1703333333333333,PM_014-c18,clean
Ex2,PM_014,c18,YOLOv8-Pose n,1750,10.101332537933718,4.935782986770968,8.762781058660963,29,0,0.0865714285714285,PM_014-c18,clean
Ex2,PM_025,c17,MediaPipe full,864,41.96815638574494,69.78767344503221,14.71775401755395,196,142,0.0930748456790123,PM_025-c17,clean
Ex2,PM_025,c17,MoveNet multipose,856,34.01003891321648,77.29997361397366,7.480225716184547,94,94,0.0980334890965732,PM_025-c17,clean
Ex2,PM_025,c17,YOLOv8-Pose n,867,37.4564606035988,81.41860279851782,8.868897602385577,97,97,0.0569973087274125,PM_025-c17,clean
Ex2,PM_025,c18,MediaPipe full,867,15.443638972794805,12.344707350023196,12.416358599835084,27,19,0.3106497500961169,PM_025-c18,clean
Ex2,PM_025,c18,MoveNet multipose,867,14.397815636917862,19.37577092431826,9.979483963493962,36,35,0.3374663590926567,PM_025-c18,clean
Ex2,PM_025,c18,YOLOv8-Pose n,867,19.57265998637126,17.280988489588253,13.263861464951413,152,26,0.137351018838908,PM_025-c18,clean
Ex2,PM_026,c17,MediaPipe full,760,17.939184534507703,18.519624884192968,13.484545736989723,47,21,0.0298245614035087,PM_026-c17,clean
Ex2,PM_026,c17,MoveNet multipose,763,12.071366480260616,3.9048054530472434,11.147846770119257,12,1,0.0726299694189602,PM_026-c17,clean
Ex2,PM_026,c17,YOLOv8-Pose n,762,15.603014519922157,21.14932508805907,12.898933190426863,6,5,0.0054680664916885,PM_026-c17,clean
Ex2,PM_026,c18,MediaPipe full,763,10.346857104971892,0.8691967363135177,10.245844233648828,0,0,0.0064438619484491,PM_026-c18,clean
Ex2,PM_026,c18,MoveNet multipose,763,13.193454091214422,13.240502256722069,10.84288018752331,26,23,0.0358235037134119,PM_026-c18,clean
Ex2,PM_026,c18,YOLOv8-Pose n,763,11.35025842389426,1.228710191305436,11.181559689108544,0,0,0.0003276539973787,PM_026-c18,clean
Ex2,PM_033,c17,MediaPipe full,1292,6.352098507074056,1.4454740336571312,6.163988706354786,0,0,0.0072239422084623,PM_033-c17,clean
Ex2,PM_033,c17,MoveNet multipose,1292,4.985478007781049,1.0120082132600017,4.778242387713018,0,0,0.0608230134158926,PM_033-c17,clean
Ex2,PM_033,c17,YOLOv8-Pose n,1282,7.425078026368124,19.798583037608346,6.445807515743873,3,3,0.0021450858034321,PM_033-c17,clean
Ex2,PM_033,c18,MediaPipe full,1292,8.28768811096395,3.294890763325254,7.674009740080331,0,0,0.1433823529411765,PM_033-c18,clean
Ex2,PM_033,c18,MoveNet multipose,1292,7.937596006717199,2.4618421085333315,7.093926084150715,0,0,0.1442208462332301,PM_033-c18,clean
Ex2,PM_033,c18,YOLOv8-Pose n,1292,9.489795257737924,4.761913181279804,8.435198884597739,21,0,0.0290247678018575,PM_033-c18,clean
Ex2,PM_040,c17,MediaPipe full,1157,9.016855539777824,0.9285455034785002,9.05177606488872,0,0,0.0012964563526361,PM_040-c17,clean
Ex2,PM_040,c17,MoveNet multipose,1157,7.710078408345788,1.1552738145956567,7.572047827541312,0,0,0.0162057044079516,PM_040-c17,clean
Ex2,PM_040,c17,YOLOv8-Pose n,1157,8.609021543074327,1.2524980401436598,8.703200661503102,0,0,0.0,PM_040-c17,clean
Ex2,PM_040,c18,MediaPipe full,1157,13.090713764423718,3.1012731449704005,11.787004192696577,0,0,0.1927398444252377,PM_040-c18,clean
Ex2,PM_040,c18,MoveNet multipose,1157,10.295057708709242,1.5805351596859405,10.089426817154909,0,0,0.1848890809564967,PM_040-c18,clean
