patient_id,video_id,exercise,camera,model,video_median_nmpjpe
5,PM_039,Ex1,c17,MoveNet,8.663887117443995
5,PM_039,Ex1,c17,YOLOv8,9.439887006070506
5,PM_039,Ex1,c18,MediaPipe,12.03856813346217
5,PM_039,Ex1,c18,MoveNet,11.67720756641549
5,PM_039,Ex1,c18,YOLOv8,12.349569345829993
5,PM_040,Ex2,c17,MediaPipe,9.05177606488872
5,PM_040,Ex2,c17,MoveNet,7.572047827541312
5,PM_040,Ex2,c17,YOLOv8,8.703200661503102
5,PM_040,Ex2,c18,MediaPipe,11.787004192696577
5,PM_040,Ex2,c18,MoveNet,10.089426817154909
5,PM_040,Ex2,c18,YOLOv8,12.54974550674929
5,PM_041,Ex4,c17,MediaPipe,10.746876359776103
5,PM_041,Ex4,c17,MoveNet,9.327425332452888
5,PM_041,Ex4,c17,YOLOv8,10.068841044766494
5,PM_041,Ex4,c18,MediaPipe,10.927298565693787
5,PM_041,Ex4,c18,MoveNet,10.639671888476087
5,PM_041,Ex4,c18,YOLOv8,11.635938928752985
5,PM_042,Ex5,c17,MediaPipe,9.802463145381623
5,PM_042,Ex5,c17,MoveNet,9.748385976769736
5,PM_042,Ex5,c17,YOLOv8,10.688186585195481
5,PM_042,Ex5,c18,MediaPipe,11.422476726893874
5,PM_042,Ex5,c18,MoveNet,10.660489972914911
5,PM_042,Ex5,c18,YOLOv8,14.630453503787203
5,PM_043,Ex6,c17,MediaPipe,9.838033538400522
5,PM_043,Ex6,c17,MoveNet,9.276303901823265
5,PM_043,Ex6,c17,YOLOv8,9.587884667803685
5,PM_043,Ex6,c18,MediaPipe,11.279426107483902
5,PM_043,Ex6,c18,MoveNet,9.643135019340054
5,PM_043,Ex6,c18,YOLOv8,12.193930644627368
5,PM_044,Ex3,c17,MediaPipe,11.024458451078612
5,PM_044,Ex3,c17,MoveNet,12.171729873668507
5,PM_044,Ex3,c17,YOLOv8,13.820837920819352
5,PM_044,Ex3,c18,MediaPipe,9.766969812675487
5,PM_044,Ex3,c18,MoveNet,9.267767212679978
5,PM_044,Ex3,c18,YOLOv8,8.988439854306435
6,PM_101,Ex1,c17,MediaPipe,13.287386059344824
6,PM_101,Ex1,c17,MoveNet,10.774932988640364
6,PM_101,Ex1,c17,YOLOv8,11.4634858732965
6,PM_101,Ex1,c18,MediaPipe,11.937623174665582
6,PM_101,Ex1,c18,MoveNet,12.749381726591913
6,PM_101,Ex1,c18,YOLOv8,12.078230323898532
6,PM_102,Ex2,c17,MediaPipe,10.325137413908486
6,PM_102,Ex2,c17,MoveNet,9.320179081567453
6,PM_102,Ex2,c17,YOLOv8,9.856547771974544
6,PM_102,Ex2,c18,MediaPipe,13.308315603118666
6,PM_102,Ex2,c18,MoveNet,12.106047199419992
6,PM_102,Ex2,c18,YOLOv8,14.57982964945091
6,PM_103,Ex4,c17,MediaPipe,11.980615891010244
6,PM_103,Ex4,c17,MoveNet,11.412553093285387
6,PM_103,Ex4,c17,YOLOv8,11.808061965869793
6,PM_103,Ex4,c18,MediaPipe,14.427581743433336
6,PM_103,Ex4,c18,MoveNet,13.848129063737195
6,PM_103,Ex4,c18,YOLOv8,15.034551968545763
6,PM_104,Ex5,c17,MediaPipe,12.480331984507387
6,PM_104,Ex5,c17,MoveNet,11.09331052312352
6,PM_104,Ex5,c17,YOLOv8,12.840584927207416
6,PM_104,Ex5,c18,MediaPipe,13.809402439524652
6,PM_104,Ex5,c18,MoveNet,13.491683882971197
6,PM_104,Ex5,c18,YOLOv8,15.352122636352204
6,PM_105,Ex6,c17,MediaPipe,13.787888667509801
6,PM_105,Ex6,c17,MoveNet,11.611268516873698
6,PM_105,Ex6,c17,YOLOv8,12.304351371953043
6,PM_105,Ex6,c18,MediaPipe,14.936403795866651
6,PM_105,Ex6,c18,MoveNet,13.40752021737601
6,PM_105,Ex6,c18,YOLOv8,13.861045855809117
6,PM_107,Ex3,c17,MediaPipe,15.314430816763108
6,PM_107,Ex3,c17,MoveNet,14.45410340447151
6,PM_107,Ex3,c17,YOLOv8,19.052534270884586
6,PM_107,Ex3,c18,MediaPipe,14.093955865857954
6,PM_107,Ex3,c18,MoveNet,13.319905668539121
6,PM_107,Ex3,c18,YOLOv8,15.140410177829361
7,PM_121,Ex3,c17,MediaPipe,30.79828289165581
7,PM_121,Ex3,c17,MoveNet,31.471112853163213
7,PM_121,Ex3,c17,YOLOv8,30.67440615151569
7,PM_121,Ex3,c18,MediaPipe,22.406669806147253
7,PM_121,Ex3,c18,MoveNet,24.23059195160325
7,PM_121,Ex3,c18,YOLOv8,23.570298552161823
7,PM_122,Ex1,c17,MediaPipe,9.73870187927004
7,PM_122,Ex1,c17,MoveNet,8.900367722421215
7,PM_122,Ex1,c17,YOLOv8,9.582905496285093
7,PM_122,Ex1,c18,MediaPipe,12.316374086750656
7,PM_122,Ex1,c18,MoveNet,11.758839818393747
7,PM_122,Ex1,c18,YOLOv8,11.18673653639282
7,PM_123,Ex2,c17,MediaPipe,10.845549930196507
7,PM_123,Ex2,c17,MoveNet,9.17127002816953
7,PM_123,Ex2,c17,YOLOv8,9.955643056696422
7,PM_123,Ex2,c18,MediaPipe,11.10744722224047
7,PM_123,Ex2,c18,MoveNet,9.467382259535404
7,PM_123,Ex2,c18,YOLOv8,11.20390606160247
7,PM_124,Ex4,c17,MediaPipe,10.395783347010916
7,PM_124,Ex4,c17,MoveNet,10.027866431100373
7,PM_124,Ex4,c17,YOLOv8,10.3373678303429
7,PM_124,Ex4,c18,MediaPipe,12.129173759842573
7,PM_124,Ex4,c18,MoveNet,10.90649362134823
7,PM_124,Ex4,c18,YOLOv8,12.182406311895743
7,PM_125,Ex5,c17,MediaPipe,10.313009506013701
7,PM_125,Ex5,c17,MoveNet,9.123522570978222
7,PM_125,Ex5,c17,YOLOv8,10.31406860152907
7,PM_125,Ex5,c18,MediaPipe,10.742011694805306
7,PM_125,Ex5,c18,MoveNet,10.133208497044954
7,PM_125,Ex5,c18,YOLOv8,13.203078436554478
7,PM_126,Ex6,c17,MediaPipe,11.608301221284119
7,PM_126,Ex6,c17,MoveNet,9.552237843124427
7,PM_126,Ex6,c17,YOLOv8,11.282771394433135
7,PM_126,Ex6,c18,MediaPipe,11.427214980420242
7,PM_126,Ex6,c18,MoveNet,11.35358972478854
7,PM_126,Ex6,c18,YOLOv8,11.905892805933448
8,PM_108,Ex3,c17,MediaPipe,15.724726998851525
8,PM_108,Ex3,c17,MoveNet,16.666504699776713
8,PM_108,Ex3,c17,YOLOv8,21.410440841243993
8,PM_108,Ex3,c18,MediaPipe,15.00411690028202
8,PM_108,Ex3,c18,MoveNet,15.913830300225657
8,PM_108,Ex3,c18,YOLOv8,16.884636482583193
8,PM_109,Ex1,c17,MediaPipe,10.622218740271881
8,PM_109,Ex1,c17,MoveNet,9.503334866441584
8,PM_109,Ex1,c17,YOLOv8,10.256299670622465
8,PM_109,Ex1,c18,MediaPipe,12.084936218633354
8,PM_109,Ex1,c18,MoveNet,10.097024859628895
